raw_text,category,emotion,priority
" I noticed that login loop. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. idk what's happening.",Authentication & Access,Frustrated,Medium
"cnt... signin blank screen, plz fix. Waiting for a response.",Authentication & Access,Angry,Medium
verification failed,Authentication & Access,Urgent,Medium
Can someone explain why account locked. This is affecting my studies.,Authentication & Access,Neutral,High
" I noticed that password reset broken. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. This is affecting my studies.",Authentication & Access,Angry,Medium
"vid... SSO failing, plz fix. Really disappointed.",Authentication & Access,Urgent,Critical
auth timeout,Authentication & Access,Neutral,Critical
"After the latest update, verification failed. Need this fixed ASAP.",Authentication & Access,Angry,High
"I'm confused because I noticed that login loop. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. idk what's happening.",Authentication & Access,Confused,Medium
"vid... account locked, plz fix. idk what's happening.",Authentication & Access,Neutral,High
verification failed,Authentication & Access,Frustrated,Critical
"Hi team, signin blank screen. Really disappointed.",Authentication & Access,Neutral,Critical
"Ever since yesterday, I noticed that account locked. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. This is affecting my studies.",Authentication & Access,Angry,High
"cnt... credentials denied, plz fix. Need this fixed ASAP.",Authentication & Access,Confused,Medium
credentials denied,Authentication & Access,Confused,Critical
Urgent: password reset broken. ,Authentication & Access,Angry,Medium
"After the latest update, I noticed that account locked. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Really disappointed.",Authentication & Access,Confused,Medium
"vid... auth timeout, plz fix. idk what's happening.",Authentication & Access,Urgent,High
SSO failing,Authentication & Access,Confused,High
This is unacceptable. auth timeout. Waiting for a response.,Authentication & Access,Angry,Critical
"Please help, I noticed that password reset broken. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Thanks.",Authentication & Access,Urgent,Critical
"biling... password reset broken, plz fix. Plz help.",Authentication & Access,Neutral,Critical
credentials denied,Authentication & Access,Frustrated,Critical
 auth timeout. Plz help.,Authentication & Access,Neutral,Critical
"Urgent: I noticed that OTP never arrives. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. ",Authentication & Access,Confused,Medium
"plz... account locked, plz fix. Waiting for a response.",Authentication & Access,Frustrated,Medium
invoice missing,Billing & Subscriptions,Frustrated,Critical
Urgent: plan not upgraded. idk what's happening.,Billing & Subscriptions,Confused,High
"Urgent: I noticed that refund pending. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Need this fixed ASAP.",Billing & Subscriptions,Urgent,Critical
"subscrption... subscription renewed, plz fix. This is affecting my studies.",Billing & Subscriptions,Frustrated,Critical
billing mismatch,Billing & Subscriptions,Confused,Critical
"After the latest update, unexpected fee. Really disappointed.",Billing & Subscriptions,Confused,High
"After the latest update, I noticed that plan not upgraded. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Kindly investigate.",Billing & Subscriptions,Confused,High
"subscrption... plan not upgraded, plz fix. This is affecting my studies.",Billing & Subscriptions,Urgent,Critical
invoice missing,Billing & Subscriptions,Angry,High
I'm confused because unexpected fee. Thanks.,Billing & Subscriptions,Frustrated,High
"I'm confused because I noticed that charged twice. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. This is affecting my studies.",Billing & Subscriptions,Confused,High
"biling... GST calculation wrong, plz fix. This is affecting my studies.",Billing & Subscriptions,Frustrated,Critical
unexpected fee,Billing & Subscriptions,Frustrated,High
"Honestly, coupon ignored. Waiting for a response.",Billing & Subscriptions,Confused,High
"This is unacceptable. I noticed that subscription renewed. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. ",Billing & Subscriptions,Angry,High
"idk... subscription renewed, plz fix. Thanks.",Billing & Subscriptions,Angry,Critical
coupon ignored,Billing & Subscriptions,Confused,High
Urgent: refund pending. Need this fixed ASAP.,Billing & Subscriptions,Confused,High
"Ever since yesterday, I noticed that invoice missing. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. idk what's happening.",Billing & Subscriptions,Angry,Critical
"subscrption... charged twice, plz fix. This is affecting my studies.",Billing & Subscriptions,Neutral,High
plan not upgraded,Billing & Subscriptions,Angry,Critical
"Hi team, invoice missing. Really disappointed.",Billing & Subscriptions,Urgent,High
"After the latest update, I noticed that billing mismatch. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Need this fixed ASAP.",Billing & Subscriptions,Neutral,Critical
"subscrption... payment failed but money deducted, plz fix. Need this fixed ASAP.",Billing & Subscriptions,Confused,Critical
coupon ignored,Billing & Subscriptions,Urgent,Critical
"After the latest update, invoice missing. ",Billing & Subscriptions,Urgent,Critical
"This is unacceptable. I noticed that unexpected fee. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. ",Billing & Subscriptions,Angry,High
"plz... coupon ignored, plz fix. Thanks.",Billing & Subscriptions,Frustrated,Critical
GST calculation wrong,Billing & Subscriptions,Frustrated,High
"Hi team, refund pending. ",Billing & Subscriptions,Urgent,Critical
"Urgent: I noticed that billing mismatch. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Kindly investigate.",Billing & Subscriptions,Angry,Critical
"idk... unexpected fee, plz fix. ",Billing & Subscriptions,Neutral,Critical
billing mismatch,Billing & Subscriptions,Angry,High
This is unacceptable. subscription renewed. Thanks.,Billing & Subscriptions,Neutral,Critical
" I noticed that refund pending. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Need this fixed ASAP.",Billing & Subscriptions,Urgent,High
"plz... refund pending, plz fix. Kindly investigate.",Billing & Subscriptions,Angry,High
invoice missing,Billing & Subscriptions,Neutral,Critical
 plan not upgraded. Need this fixed ASAP.,Billing & Subscriptions,Angry,High
"Honestly, I noticed that plan not upgraded. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. ",Billing & Subscriptions,Urgent,Critical
"pasword... unexpected fee, plz fix. Really disappointed.",Billing & Subscriptions,Urgent,Critical
unexpected fee,Billing & Subscriptions,Confused,High
"Honestly, coupon ignored. Kindly investigate.",Billing & Subscriptions,Frustrated,High
" I noticed that payment failed but money deducted. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Plz help.",Billing & Subscriptions,Urgent,Critical
"pasword... invoice missing, plz fix. Really disappointed.",Billing & Subscriptions,Angry,Critical
GST calculation wrong,Billing & Subscriptions,Frustrated,High
"After the latest update, payment failed but money deducted. Thanks.",Billing & Subscriptions,Frustrated,High
"Honestly, I noticed that GST calculation wrong. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Thanks.",Billing & Subscriptions,Frustrated,High
"subscrption... unexpected fee, plz fix. Thanks.",Billing & Subscriptions,Neutral,Critical
charged twice,Billing & Subscriptions,Frustrated,Critical
"After the latest update, unexpected fee. Need this fixed ASAP.",Billing & Subscriptions,Neutral,Critical
"Can someone explain why I noticed that charged twice. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. ",Billing & Subscriptions,Confused,Critical
"biling... billing mismatch, plz fix. Thanks.",Billing & Subscriptions,Urgent,Critical
refund pending,Billing & Subscriptions,Frustrated,High
 refund pending. Plz help.,Billing & Subscriptions,Confused,Critical
"Ever since yesterday, I noticed that charged twice. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Waiting for a response.",Billing & Subscriptions,Confused,Critical
"asap... payment failed but money deducted, plz fix. Plz help.",Billing & Subscriptions,Urgent,Critical
unexpected fee,Billing & Subscriptions,Angry,High
"Honestly, subscription renewed. Waiting for a response.",Billing & Subscriptions,Urgent,Critical
"Urgent: I noticed that invoice missing. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. This is affecting my studies.",Billing & Subscriptions,Neutral,High
"pasword... billing mismatch, plz fix. Plz help.",Billing & Subscriptions,Angry,Critical
subscription renewed,Billing & Subscriptions,Frustrated,Critical
"Ever since yesterday, GST calculation wrong. Need this fixed ASAP.",Billing & Subscriptions,Neutral,Critical
"Can someone explain why I noticed that unexpected fee. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. ",Billing & Subscriptions,Confused,Critical
"idk... unexpected fee, plz fix. Kindly investigate.",Billing & Subscriptions,Urgent,Critical
refund pending,Billing & Subscriptions,Neutral,High
"After the latest update, GST calculation wrong. Plz help.",Billing & Subscriptions,Frustrated,Critical
"Ever since yesterday, I noticed that payment failed but money deducted. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Really disappointed.",Billing & Subscriptions,Confused,High
"biling... refund pending, plz fix. ",Billing & Subscriptions,Angry,High
payment failed but money deducted,Billing & Subscriptions,Neutral,High
"Honestly, unexpected fee. Thanks.",Billing & Subscriptions,Frustrated,Critical
"Honestly, I noticed that invoice missing. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Waiting for a response.",Billing & Subscriptions,Confused,High
"cnt... invoice missing, plz fix. This is affecting my studies.",Billing & Subscriptions,Confused,Critical
charged twice,Billing & Subscriptions,Confused,High
 invoice missing. This is affecting my studies.,Billing & Subscriptions,Confused,Critical
"Urgent: I noticed that charged twice. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. idk what's happening.",Billing & Subscriptions,Urgent,High
"pasword... charged twice, plz fix. Waiting for a response.",Billing & Subscriptions,Frustrated,Critical
coupon ignored,Billing & Subscriptions,Confused,High
I'm confused because unexpected fee. Waiting for a response.,Billing & Subscriptions,Angry,High
"Please help, I noticed that invoice missing. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. ",Billing & Subscriptions,Frustrated,High
"pasword... charged twice, plz fix. Kindly investigate.",Billing & Subscriptions,Confused,Critical
screen blank,Platform Bugs & UI,Neutral,Low
 app crashes. idk what's happening.,Platform Bugs & UI,Urgent,Medium
"Hi team, I noticed that spinner never ends. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. ",Platform Bugs & UI,Confused,Medium
"plz... spinner never ends, plz fix. ",Platform Bugs & UI,Confused,Low
app crashes,Platform Bugs & UI,Neutral,Medium
"Honestly, video freezes. This is affecting my studies.",Platform Bugs & UI,Angry,Low
"Can someone explain why I noticed that spinner never ends. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. This is affecting my studies.",Platform Bugs & UI,Confused,High
"asap... audio desynced, plz fix. Need this fixed ASAP.",Platform Bugs & UI,Confused,High
page reload loop,Platform Bugs & UI,Frustrated,High
"Please help, screen blank. This is affecting my studies.",Platform Bugs & UI,Frustrated,Low
"Hi team, I noticed that app crashes. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Kindly investigate.",Platform Bugs & UI,Confused,High
"asap... spinner never ends, plz fix. Kindly investigate.",Platform Bugs & UI,Frustrated,High
UI glitch,Platform Bugs & UI,Urgent,Low
I'm confused because screen blank. ,Platform Bugs & UI,Confused,Low
"Urgent: I noticed that spinner never ends. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Thanks.",Platform Bugs & UI,Confused,High
"cnt... UI glitch, plz fix. Plz help.",Platform Bugs & UI,Neutral,Low
search broken,Platform Bugs & UI,Angry,Low
"Hi team, page reload loop. ",Platform Bugs & UI,Angry,Medium
"Can someone explain why I noticed that audio desynced. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Thanks.",Platform Bugs & UI,Neutral,Low
"vid... UI glitch, plz fix. This is affecting my studies.",Platform Bugs & UI,Neutral,Medium
buttons overlap,Platform Bugs & UI,Frustrated,Medium
This is unacceptable. app crashes. Thanks.,Platform Bugs & UI,Confused,High
"After the latest update, I noticed that screen blank. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Waiting for a response.",Platform Bugs & UI,Frustrated,High
"idk... spinner never ends, plz fix. This is affecting my studies.",Platform Bugs & UI,Urgent,High
UI glitch,Platform Bugs & UI,Neutral,Low
"Hi team, search broken. This is affecting my studies.",Platform Bugs & UI,Urgent,High
"This is unacceptable. I noticed that downloads fail. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Need this fixed ASAP.",Platform Bugs & UI,Angry,Medium
"asap... buttons overlap, plz fix. Kindly investigate.",Platform Bugs & UI,Urgent,Medium
video freezes,Platform Bugs & UI,Neutral,Low
"Hi team, buttons overlap. Waiting for a response.",Platform Bugs & UI,Neutral,High
"Please help, I noticed that app crashes. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Kindly investigate.",Platform Bugs & UI,Angry,Low
"biling... UI glitch, plz fix. ",Platform Bugs & UI,Urgent,Medium
screen blank,Platform Bugs & UI,Neutral,Medium
"After the latest update, page reload loop. This is affecting my studies.",Platform Bugs & UI,Angry,Medium
"Please help, I noticed that audio desynced. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. ",Platform Bugs & UI,Angry,High
"cnt... downloads fail, plz fix. ",Platform Bugs & UI,Confused,Medium
buttons overlap,Platform Bugs & UI,Confused,Medium
"After the latest update, audio desynced. Really disappointed.",Platform Bugs & UI,Frustrated,Medium
"I'm confused because I noticed that search broken. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Thanks.",Platform Bugs & UI,Angry,High
"idk... spinner never ends, plz fix. ",Platform Bugs & UI,Neutral,Low
spinner never ends,Platform Bugs & UI,Neutral,High
"After the latest update, app crashes. Really disappointed.",Platform Bugs & UI,Neutral,Low
"After the latest update, I noticed that spinner never ends. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Really disappointed.",Platform Bugs & UI,Neutral,Low
"plz... UI glitch, plz fix. Thanks.",Platform Bugs & UI,Frustrated,Medium
search broken,Platform Bugs & UI,Confused,Low
"Please help, buttons overlap. Need this fixed ASAP.",Platform Bugs & UI,Angry,Low
"After the latest update, I noticed that UI glitch. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Thanks.",Platform Bugs & UI,Urgent,Medium
"asap... audio desynced, plz fix. Waiting for a response.",Platform Bugs & UI,Urgent,High
app crashes,Platform Bugs & UI,Frustrated,Low
"Hi team, downloads fail. Waiting for a response.",Platform Bugs & UI,Urgent,Medium
"This is unacceptable. I noticed that video freezes. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Really disappointed.",Platform Bugs & UI,Frustrated,Medium
"pasword... video freezes, plz fix. This is affecting my studies.",Platform Bugs & UI,Neutral,Low
UI glitch,Platform Bugs & UI,Confused,Medium
"Ever since yesterday, search broken. This is affecting my studies.",Platform Bugs & UI,Urgent,Medium
"Honestly, I noticed that audio desynced. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Kindly investigate.",Platform Bugs & UI,Angry,High
"plz... screen blank, plz fix. Plz help.",Platform Bugs & UI,Neutral,High
video freezes,Platform Bugs & UI,Confused,High
 app crashes. Need this fixed ASAP.,Platform Bugs & UI,Confused,High
"After the latest update, I noticed that page reload loop. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. ",Platform Bugs & UI,Urgent,Low
"plz... video freezes, plz fix. Need this fixed ASAP.",Platform Bugs & UI,Confused,Medium
buttons overlap,Platform Bugs & UI,Neutral,High
"Please help, screen blank. Need this fixed ASAP.",Platform Bugs & UI,Neutral,High
"Honestly, I noticed that buttons overlap. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Kindly investigate.",Platform Bugs & UI,Urgent,High
"idk... screen blank, plz fix. Really disappointed.",Platform Bugs & UI,Angry,Low
page reload loop,Platform Bugs & UI,Confused,High
This is unacceptable. screen blank. Need this fixed ASAP.,Platform Bugs & UI,Angry,Medium
"I'm confused because I noticed that search broken. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. ",Platform Bugs & UI,Urgent,High
"cnt... screen blank, plz fix. This is affecting my studies.",Platform Bugs & UI,Confused,Medium
UI glitch,Platform Bugs & UI,Frustrated,Low
"Honestly, video freezes. Plz help.",Platform Bugs & UI,Angry,High
"This is unacceptable. I noticed that video freezes. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. idk what's happening.",Platform Bugs & UI,Frustrated,Medium
"plz... app crashes, plz fix. Thanks.",Platform Bugs & UI,Confused,Medium
screen blank,Platform Bugs & UI,Frustrated,Medium
This is unacceptable. UI glitch. Plz help.,Platform Bugs & UI,Urgent,Medium
"Urgent: I noticed that spinner never ends. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. ",Platform Bugs & UI,Neutral,Low
"vid... spinner never ends, plz fix. ",Platform Bugs & UI,Neutral,Low
downloads fail,Platform Bugs & UI,Urgent,High
Urgent: UI glitch. This is affecting my studies.,Platform Bugs & UI,Angry,Medium
"Please help, I noticed that video freezes. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Really disappointed.",Platform Bugs & UI,Neutral,High
"idk... downloads fail, plz fix. Need this fixed ASAP.",Platform Bugs & UI,Urgent,Low
examples outdated,Content & Academic,Neutral,Medium
This is unacceptable. subtitle mismatch. Kindly investigate.,Content & Academic,Frustrated,Low
"Please help, I noticed that missing lesson. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. This is affecting my studies.",Content & Academic,Neutral,Medium
"asap... poor audio, plz fix. Kindly investigate.",Content & Academic,Frustrated,Medium
examples outdated,Content & Academic,Urgent,Medium
"Honestly, subtitle mismatch. Thanks.",Content & Academic,Frustrated,Medium
"Hi team, I noticed that wrong quiz answer. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Need this fixed ASAP.",Content & Academic,Confused,Low
"pasword... outdated content, plz fix. Thanks.",Content & Academic,Angry,Low
poor audio,Content & Academic,Angry,Low
"Honestly, subtitle mismatch. idk what's happening.",Content & Academic,Confused,Low
"This is unacceptable. I noticed that outdated content. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Need this fixed ASAP.",Content & Academic,Urgent,Low
"plz... empty chapter, plz fix. Waiting for a response.",Content & Academic,Urgent,Low
wrong quiz answer,Content & Academic,Urgent,Low
"Honestly, wrong quiz answer. Need this fixed ASAP.",Content & Academic,Neutral,Low
"Urgent: I noticed that missing lesson. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Really disappointed.",Content & Academic,Confused,Low
"biling... examples outdated, plz fix. Waiting for a response.",Content & Academic,Neutral,Low
poor audio,Content & Academic,Confused,Low
 examples outdated. idk what's happening.,Content & Academic,Urgent,Medium
"Urgent: I noticed that poor audio. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Thanks.",Content & Academic,Angry,Medium
"vid... old syllabus, plz fix. Kindly investigate.",Content & Academic,Urgent,Low
poor audio,Content & Academic,Neutral,Medium
 outdated content. This is affecting my studies.,Content & Academic,Angry,Low
"This is unacceptable. I noticed that examples outdated. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Really disappointed.",Content & Academic,Frustrated,Low
"idk... poor audio, plz fix. idk what's happening.",Content & Academic,Frustrated,Medium
assignment unclear,Content & Academic,Neutral,Medium
This is unacceptable. duplicate module. idk what's happening.,Content & Academic,Confused,Low
"Urgent: I noticed that duplicate module. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. This is affecting my studies.",Content & Academic,Frustrated,Low
"asap... examples outdated, plz fix. Thanks.",Content & Academic,Confused,Low
missing lesson,Content & Academic,Urgent,Low
I'm confused because subtitle mismatch. Need this fixed ASAP.,Content & Academic,Neutral,Medium
"Honestly, I noticed that missing lesson. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Waiting for a response.",Content & Academic,Neutral,Low
"subscrption... subtitle mismatch, plz fix. Waiting for a response.",Content & Academic,Confused,Low
assignment unclear,Content & Academic,Confused,Low
This is unacceptable. missing lesson. Thanks.,Content & Academic,Urgent,Low
"After the latest update, I noticed that outdated content. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. This is affecting my studies.",Content & Academic,Frustrated,Low
"vid... empty chapter, plz fix. Need this fixed ASAP.",Content & Academic,Urgent,Low
subtitle mismatch,Content & Academic,Frustrated,Medium
"Please help, assignment unclear. Plz help.",Content & Academic,Angry,Low
"Hi team, I noticed that duplicate module. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. idk what's happening.",Content & Academic,Confused,Low
"vid... empty chapter, plz fix. This is affecting my studies.",Content & Academic,Urgent,Low
wrong quiz answer,Content & Academic,Confused,Medium
 subtitle mismatch. Thanks.,Content & Academic,Frustrated,Low
"After the latest update, I noticed that outdated content. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. This is affecting my studies.",Content & Academic,Neutral,Medium
"vid... poor audio, plz fix. Need this fixed ASAP.",Content & Academic,Frustrated,Low
poor audio,Content & Academic,Frustrated,Low
Urgent: empty chapter. Waiting for a response.,Content & Academic,Confused,Low
"Hi team, I noticed that examples outdated. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. ",Content & Academic,Neutral,Medium
"cnt... empty chapter, plz fix. Really disappointed.",Content & Academic,Frustrated,Low
examples outdated,Content & Academic,Neutral,Medium
Can someone explain why wrong quiz answer. Need this fixed ASAP.,Content & Academic,Frustrated,Medium
"This is unacceptable. I noticed that empty chapter. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Really disappointed.",Content & Academic,Urgent,Low
"subscrption... examples outdated, plz fix. Kindly investigate.",Content & Academic,Neutral,Low
assignment unclear,Content & Academic,Frustrated,Medium
"Ever since yesterday, empty chapter. ",Content & Academic,Urgent,Low
" I noticed that empty chapter. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. This is affecting my studies.",Content & Academic,Urgent,Medium
"plz... subtitle mismatch, plz fix. Need this fixed ASAP.",Content & Academic,Urgent,Medium
assignment unclear,Content & Academic,Urgent,Low
 poor audio. Plz help.,Content & Academic,Urgent,Medium
"Can someone explain why I noticed that subtitle mismatch. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Plz help.",Content & Academic,Urgent,Medium
"subscrption... assignment unclear, plz fix. Kindly investigate.",Content & Academic,Urgent,Low
wrong quiz answer,Content & Academic,Frustrated,Low
"Please help, outdated content. Kindly investigate.",Content & Academic,Neutral,Medium
"Urgent: I noticed that empty chapter. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Plz help.",Content & Academic,Neutral,Low
"subscrption... subtitle mismatch, plz fix. Really disappointed.",Content & Academic,Urgent,Low
old syllabus,Content & Academic,Angry,Low
This is unacceptable. empty chapter. Really disappointed.,Content & Academic,Confused,Low
"Urgent: I noticed that wrong quiz answer. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Waiting for a response.",Content & Academic,Neutral,Low
"pasword... missing lesson, plz fix. Really disappointed.",Content & Academic,Angry,Medium
old syllabus,Content & Academic,Frustrated,Medium
Urgent: outdated content. This is affecting my studies.,Content & Academic,Neutral,Medium
"Honestly, I noticed that empty chapter. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. This is affecting my studies.",Content & Academic,Neutral,Medium
"plz... assignment unclear, plz fix. Really disappointed.",Content & Academic,Neutral,Low
duplicate module,Content & Academic,Angry,Medium
"Honestly, old syllabus. Really disappointed.",Content & Academic,Angry,Low
"Please help, I noticed that empty chapter. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Thanks.",Content & Academic,Urgent,Medium
"asap... missing lesson, plz fix. Need this fixed ASAP.",Content & Academic,Frustrated,Low
missing lesson,Content & Academic,Frustrated,Low
This is unacceptable. missing lesson. Kindly investigate.,Content & Academic,Frustrated,Low
"I'm confused because I noticed that wrong quiz answer. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. ",Content & Academic,Urgent,Medium
"cnt... examples outdated, plz fix. idk what's happening.",Content & Academic,Neutral,Medium
download broken,Certificates & Progress,Urgent,High
"Please help, completion not saved. Plz help.",Certificates & Progress,Urgent,High
